race,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,base_openness,base_conscientiousness,base_extraversion,base_agreeableness,base_neuroticism,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills,student_id,program_code,program_name,faculty,department,year1_modules,num_year1_modules,clan_affinity,selection_probability
Dwarf,sandstone,male,Bram,Bridgeglen,Bram Bridgeglen,18,vocational,1,no_known_disabilities,0.8566381752033021,0.7110973578140072,0.7422521487261975,0.6293502481953004,0.3474847625350497,1.0,0.7610973578140071,0.9422521487261974,0.6293502481953004,0.2974847625350497,0.7018424101634397,0.8009810731045216,0.6281497034658761,0.8497465926776142,0.7786576436884707,0.8358757929709231,0.7591233578631871,0.8085491784143584,10,2.1.16,Listening Circles Facilitation,Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Deep Listening: Practices from Many Traditions,Circle Structures: Time, Space, and Agreement",2,0.85,0.860092120508172
Dwarf,malachite,female,Brimma,Cragturner,Brimma Cragturner,18,academic,4,no_known_disabilities,0.6643767359125122,0.794314770806994,0.4116889396930701,0.7854761653013679,0.3009662644666179,0.8643767359125122,0.8443147708069939,0.5116889396930702,0.7854761653013679,0.3509662644666179,0.8807610281406274,0.8477010759435067,0.5672190283835706,0.7531309230446867,0.9098609950331956,0.7135422323980617,0.7841570455493192,0.9364081940657364,11,4.1.35,Multispecies Semantics,Faculty of Living Lore,Language and Symbol,"Foundations in Cross-Species Communication,Meaning Beyond Words: Gesture, Scent, Frequency",2,0.05,0.06903805140703137
Elf,rowan,male,Viren,Moondrift,Viren Moondrift,18,academic,7,,0.9066143665269354,0.5960148803091836,0.8686569685488601,0.7973004196835407,0.2032512954440895,1.0,0.6460148803091835,0.91865696854886,0.7973004196835407,0.3532512954440895,0.7261132400342472,0.8396358184331011,0.5956068442901346,1.0,0.8201830025104158,0.8594257493190269,0.7785983364105672,0.64305467754616,12,4.1.34,Comparative Runes and Scripts,Faculty of Living Lore,Language and Symbol,"Introduction to Runic Systems: Function, Form, Origin,Scripts as Tools and Talismans",2,0.25,0.26130566200171235
Elf,baobab,female,Nirella,Crownweaver,Nirella Crownweaver,18,academic,4,no_known_disabilities,0.6189954805862756,0.9337845363165164,0.4439814465076077,0.4539978506077178,0.2699684217273583,0.8189954805862756,0.95,0.5439814465076077,0.4539978506077178,0.3199684217273583,0.7592946050410022,0.6435945572429054,0.9375792279662856,0.5986566907593466,0.7807418794472872,0.5406060300701425,0.6794008423171216,0.525044578574405,13,2.4.25,Timekeeping in Plural Cultures,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Time as Construct: Clocks, Moons, and Memory,Rhythms of the Body, Land, and Cosmos",2,0.9,0.9129647302520502
Dwarf,malachite,female,Brimma,Stonejoint,Brimma Stonejoint,18,no_qualifications,3,mental_health_disability,0.6036463424069449,0.9424697066769095,0.4129479735851729,0.8673429341094214,0.3583103327258899,0.553646342406945,0.7924697066769096,0.3129479735851729,0.8673429341094214,0.75831033272589,0.8203783212248336,0.9297541830811726,0.570099721930072,0.6336362648647055,0.7981043152286909,0.6519652429637279,0.8220958566108689,0.8409071662124388,14,1.1.3,Pedagogies of the Hand,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"Learning Through Making: Foundations,Embodied Knowledge and Apprenticeship Models",2,0.95,0.9660189160612417
Elf,rowan,female,Lyselle,Gladeweaver,Lyselle Gladeweaver,18,no_qualifications,4,no_known_disabilities,0.9034487549267372,0.7054193517661638,0.6487850818034674,0.9277317961234606,0.4467611728769507,0.9534487549267372,0.6554193517661637,0.7487850818034674,0.9277317961234606,0.5467611728769507,0.883207676118844,0.8365118115713401,0.5907348680558412,0.898795190372453,0.7566199748228591,0.9545868646186048,0.9079250773186892,0.7154572371624555,15,3.3.32,Embodied Research Methods,Faculty of Integrative Inquiry,Transdisciplinary Design and Praxis,"The Body as Instrument, Archive, and Witness,Introduction to Embodied Inquiry Practices",2,0.85,0.8691603838059422
Elf,baobab,female,Yllessa,Myrrowane,Yllessa Myrrowane,18,vocational,1,autistic_spectrum,0.613355164782736,0.8361627248494448,0.4615135985519575,0.3754327318535395,0.2824195391077726,0.813355164782736,0.95,0.4615135985519575,0.3754327318535395,0.2324195391077726,0.7410091934036951,0.5716504289183689,0.9402002395916464,0.5572834678007199,0.792344449982146,0.576781571590521,0.754788258897732,0.6410925450184756,16,3.2.29,Intergenerational Learning,Faculty of Integrative Inquiry,Learning Futures,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives,The Role of Elders, Children, and Peers in Knowledge Cultures",2,0.05,0.06205045967018476
Elf,yew,male,Ilrian,Vowroot,Ilrian Vowroot,18,academic,2,no_known_disabilities,0.6044766401069901,0.8284973722899527,0.6350959038223429,0.418962834696381,0.486626010068362,0.90447664010699,0.8784973722899526,0.8350959038223429,0.418962834696381,0.436626010068362,0.6656151717588772,0.720071232430281,0.7553008854943265,0.660902644198975,0.8198053459919014,0.6756980824610961,0.7739592117149044,0.5895456985894842,17,1.5.13,Living Stone Architecture,Faculty of Applied Forging,Stonework and Structural Alchemy,"Principles of Stone Lore and Material Memory,Sacred Geometry and Form,Drawing and Modelling in Organic Structures",3,0.05,0.05828075858794386
Dwarf,flint,female,Erla,Flintroot,Erla Flintroot,18,no_qualifications,5,requires_personal_care,0.4095414044455495,0.7646145927622225,0.660327051119757,0.4067974452815958,0.5682651788687777,0.4595414044455496,0.7146145927622225,0.760327051119757,0.4067974452815958,0.6682651788687778,0.6986739870084521,0.5615147044633808,0.8387173523193869,0.5683502191926031,0.7121089588619945,0.5447351138653482,0.4402758680164229,0.841428998564344,18,1.2.5,Mycelial Cultivation and Biotech,Faculty of Applied Forging,Food and Sustenance Technologies,"Introduction to Fungal Kingdoms,Growing Mediums and Spore Cultivation",2,0.9,0.9099336993504227
Elf,palm,female,Aivena,Shoalspirit,Aivena Shoalspirit,18,academic,5,no_known_disabilities,0.7062440012379376,0.5191491497512247,0.7262172916331202,0.8212215618281458,0.3546851635427874,0.9062440012379376,0.5691491497512247,0.8262172916331202,0.8212215618281458,0.4046851635427874,0.6081489651366978,0.912051635611817,0.5857240241756331,0.893588238025148,0.8402739396935818,0.8821740013554491,0.8273627648757688,0.5091752239153449,19,1.1.1,Distributed Workshop Economies,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"Introduction to Cooperative Crafting,Material Cultures and Local Economies,Tools, Skills, and Guild Technologies",3,0.4,0.4054074482568349
Dwarf,obsidian,male,Daineth,Gloomspire,Daineth Gloomspire,18,vocational,3,,0.7712737921734617,0.6520120785884265,0.5690296273879275,0.4240701236984927,0.4573534168710764,0.8712737921734617,0.7020120785884264,0.6690296273879275,0.4240701236984927,0.5073534168710764,0.8687530933194791,0.7774943000931326,0.5623837175347579,0.6940608070697586,0.8543529029282267,0.6000889754712825,0.8804219622033846,0.4945726742856263,20,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.05,0.11638829253412987
Dwarf,alabaster,male,Harnel,Hearthbind,Harnel Hearthbind,18,academic,8,specific_learning_disability,0.6362803916657299,0.664580935381446,0.3646765939666931,0.6605191386990708,0.60537146436395,0.7862803916657298,0.614580935381446,0.4146765939666932,0.6605191386990708,0.85537146436395,0.7967479782560869,0.8603712240201625,0.4201574399582986,0.7588162133903322,0.7942162166020714,0.7415680443497321,0.7885354653504761,0.6589978965459838,21,4.3.41,Wisdom Traditions and Moral Craft,Faculty of Living Lore,Philosophy and Ethics,"The Loom of Lore: Threads from Ancients and Elders,Tales That Teach: Fable, Parable, and Prophecy",2,0.4,0.4068531429086342
Dwarf,flint,female,Kelza,Gravelhack,Kelza Gravelhack,18,academic,3,,0.6631601622439325,0.7177335322267906,0.7449798318414732,0.4317404725710655,0.4130833288274722,0.8631601622439324,0.7677335322267905,0.8449798318414732,0.4317404725710655,0.4630833288274722,0.6127951800012331,0.653212374850003,0.8815544515266268,0.6901441711838261,0.5818184801442187,0.6280146035228118,0.5108627581687329,0.9383652971085804,22,2.2.18,Herbal Practice and Energy Work,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Plant Allies: Identification, Ethics, and Harvesting,Introduction to Energy Work: Hands, Breath, Field",2,0.8,0.8437952041527244
Dwarf,obsidian,female,Nyssa,Sigilstone,Nyssa Sigilstone,18,academic,3,dyslexia,0.7257290076860362,0.7609444054453784,0.4136464696670747,0.5371000657845035,0.4811873616217537,0.9257290076860362,0.7609444054453783,0.5136464696670747,0.5371000657845035,0.5811873616217538,0.8692838830158968,0.8267000592089813,0.6866029429251583,0.6710784630805697,0.8576920912209867,0.4781693065228061,0.9514872386779636,0.5039833121221843,23,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.05,0.12722864061623082
Dwarf,slate,female,Vilda,Scalejoint,Vilda Scalejoint,18,vocational,3,no_known_disabilities,0.4457617128742784,0.8440720900417032,0.3820145139148567,0.5272392013907158,0.6209332706874169,0.5457617128742784,0.8940720900417032,0.4820145139148567,0.5272392013907158,0.6709332706874169,0.6394569605115136,0.5221745282163546,0.7809222853834621,0.5796335819069988,0.6084799695972162,0.402287411960354,0.7258265457203524,0.9072399001376412,24,3.2.30,Pedagogies for Uncertain Times,Faculty of Integrative Inquiry,Learning Futures,"Learning in Crisis: Adaptive Theories of Change,Uncertainty as Curriculum: Improvisation, Reflection, and Risk",2,0.75,0.7569728480255756
Dwarf,alabaster,neuter,Lior,Lightburrow,Lior Lightburrow,18,academic,7,no_known_disabilities,0.5496539952283922,0.5101637480739785,0.2934419513398272,0.8341487122638263,0.4832761517888254,0.6996539952283922,0.5601637480739784,0.3434419513398272,0.8341487122638263,0.6332761517888255,0.7310115722176083,0.8089600607144165,0.6539776313913988,0.688373578360053,0.6787743353670336,0.7271560350919485,0.7254949455517965,0.5663531421845719,25,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.85,0.8984629594897199
Dwarf,obsidian,female,Enali,Glassenclave,Enali Glassenclave,18,vocational,2,"mental_health_disability,dyslexia,requires_personal_care",0.9154464052533792,0.8838346386400898,0.4119927948839259,0.4812234019430661,0.4931998629717047,1.0,0.7838346386400897,0.4119927948839258,0.4812234019430661,0.7931998629717049,0.8432996727779107,0.7467567783941974,0.6308718114887022,0.8167389333654536,0.9745329796850488,0.5103543383739291,0.9502127704855968,0.3898787524887552,26,4.1.34,Comparative Runes and Scripts,Faculty of Living Lore,Language and Symbol,"Introduction to Runic Systems: Function, Form, Origin,Scripts as Tools and Talismans",2,0.95,0.9671649836388955
Dwarf,slate,male,Jorel,Scalejoint,Jorel Scalejoint,18,vocational,8,dyslexia,0.6544384286400651,0.730694222415677,0.4629332227625881,0.592877669084276,0.6111838405415528,0.704438428640065,0.7306942224156769,0.5129332227625881,0.592877669084276,0.8111838405415529,0.6928024082315358,0.7048979605809479,0.7528543469289282,0.3757226456486108,0.6658773530091103,0.4550306190408353,0.7429499261326061,0.9278963002157034,27,2.4.25,Timekeeping in Plural Cultures,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Time as Construct: Clocks, Moons, and Memory,Rhythms of the Body, Land, and Cosmos",2,0.2,0.2096401204115768
Dwarf,malachite,male,Ralik,Weldspark,Ralik Weldspark,18,vocational,5,deaf_or_hearing_impaired,0.7577070546908058,0.7429198214620758,0.4816921979558107,0.60551720296424,0.4742896419681497,0.8577070546908058,0.7929198214620757,0.5816921979558107,0.60551720296424,0.5242896419681498,0.9121743713311996,0.873367299030235,0.5912736967230033,0.7436388564234386,0.7451638988240915,0.6414258935467969,0.8833774287543547,0.8417117823349766,28,4.3.41,Wisdom Traditions and Moral Craft,Faculty of Living Lore,Philosophy and Ethics,"The Loom of Lore: Threads from Ancients and Elders,Tales That Teach: Fable, Parable, and Prophecy",2,0.8,0.8297360882388604
Elf,yew,male,Vaerion,Pactweaver,Vaerion Pactweaver,18,academic,3,no_known_disabilities,0.7746541031875742,0.8803832152804764,0.5831214001023872,0.5847920391173297,0.4189948119156162,0.9746541031875742,0.9303832152804764,0.6831214001023872,0.5847920391173297,0.4689948119156162,0.7626955331816786,0.7004155064639592,0.7367058428379482,0.5799510835475639,0.6479332884439131,0.8086219564723648,0.6485161740304344,0.5739664453321711,29,4.4.44,Narrative Governance and Institution Building,Faculty of Living Lore,Political Myth and Governance,"Institutions as Stories: Memory, Myth, Mechanism,Governance Through Narrative Form",2,0.9,0.9561730981871316
Dwarf,flint,neuter,Doni,Thudchain,Doni Thudchain,18,no_qualifications,5,no_known_disabilities,0.5338017318873867,0.6555398786515859,0.6625702842135075,0.5618837507629224,0.5196674659228684,0.5838017318873867,0.6055398786515859,0.7625702842135075,0.5618837507629224,0.6196674659228685,0.6197800680392105,0.5953930772880575,0.8825958525455385,0.7128261609490243,0.7916601199227689,0.66852129341859,0.6669929684855326,0.9372363976454192,30,3.2.29,Intergenerational Learning,Faculty of Integrative Inquiry,Learning Futures,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives,The Role of Elders, Children, and Peers in Knowledge Cultures",2,0.25,0.2559890034019605
Dwarf,granite,female,Murna,Grimward,Murna Grimward,18,academic,2,no_known_disabilities,0.4682031582010542,0.872159282576613,0.6654995069569842,0.55907953979047,0.3323096485244485,0.7682031582010541,0.922159282576613,0.8654995069569842,0.55907953979047,0.2823096485244485,0.4632248399819026,0.6078050407047466,0.7316447313242763,0.37165831435204,0.5380993477819838,0.5804843487526499,0.6010474779883037,0.6965533224714621,31,1.2.5,Mycelial Cultivation and Biotech,Faculty of Applied Forging,Food and Sustenance Technologies,"Introduction to Fungal Kingdoms,Growing Mediums and Spore Cultivation",2,0.05,0.048161241999095133
Dwarf,obsidian,male,Elrik,Sigilstone,Elrik Sigilstone,18,no_qualifications,8,"mental_health_disability,specific_learning_disability",0.7596942864420755,0.6331422339394184,0.4063866472922329,0.4861716974962245,0.388892436136797,0.6596942864420754,0.3831422339394184,0.2563866472922329,0.4861716974962245,0.988892436136797,0.880325931775548,0.7320239589680375,0.6915076995380639,0.6501231012855079,0.9573791947644764,0.5705326594269339,0.9071299478760364,0.4421207766988944,32,1.5.13,Living Stone Architecture,Faculty of Applied Forging,Stonework and Structural Alchemy,"Principles of Stone Lore and Material Memory,Sacred Geometry and Form,Drawing and Modelling in Organic Structures",3,0.05,0.0690162965887774
Dwarf,granite,male,Bromdir,Strongmark,Bromdir Strongmark,18,academic,7,blind_or_visually_impaired,0.5478617087381897,0.9201154530694812,0.5889333768988458,0.464897206910966,0.3554781100029176,0.6978617087381898,0.95,0.6389333768988458,0.464897206910966,0.5054781100029176,0.5268878124568945,0.6918250863571703,0.7313753327066472,0.5823908997228636,0.5304128813993825,0.5126087473008458,0.6992630173695159,0.7920425309046907,33,4.4.44,Narrative Governance and Institution Building,Faculty of Living Lore,Political Myth and Governance,"Institutions as Stories: Memory, Myth, Mechanism,Governance Through Narrative Form",2,0.9,0.9463443906228448
Dwarf,alabaster,male,Edrik,Plainbrow,Edrik Plainbrow,18,vocational,7,,0.6487627205236313,0.5243138647722944,0.2660549605849434,0.8049776290978787,0.4228392578470901,0.6987627205236312,0.5743138647722943,0.3160549605849434,0.8049776290978787,0.5728392578470901,0.7469256788110862,0.8665259172618479,0.58929910670317,0.7364940119489026,0.6515972931109778,0.7577796478982801,0.7942449776014096,0.4162055713875972,34,2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Theories of Care: Interdependence and Responsibility,Craft as Teaching: Making with Meaning",2,0.6,0.6212761946108712
Elf,yew,female,Ithira,Vowroot,Ithira Vowroot,18,academic,4,dyslexia,0.5003360334440329,0.8390454337599392,0.6269907411354804,0.3776064992093724,0.3579398593761879,0.7003360334440328,0.8390454337599391,0.7269907411354803,0.3776064992093724,0.4579398593761878,0.7916659397501428,0.6225113449824506,0.871123093396195,0.8155725068780788,0.6533091207308578,0.7539943618731887,0.7617480042649292,0.6759767099065205,35,1.3.9,Artefact Restoration,Faculty of Applied Forging,Forge Arts and Metallurgy,"Reading the Object: Material Histories and Markings,Principles of Conservation and Ethical Restoration",2,0.05,0.06458329698750714
Dwarf,slate,male,Tolmar,Truelock,Tolmar Truelock,18,academic,6,physical_disability,0.6906633565857074,0.8874129579357312,0.2390258720391896,0.6274789587787067,0.4073760749376405,0.8906633565857074,0.9374129579357312,0.3390258720391896,0.6274789587787067,0.5573760749376405,0.747891086415987,0.6091012601622112,0.7038485059962494,0.6162766979356533,0.5843837031928408,0.4136030275166995,0.8221511117088505,0.9067003933324914,36,3.1.27,Epistemological Justice,Faculty of Integrative Inquiry,Ecologies of Knowledge,"What Counts as Knowledge? A Critical Introduction,Mapping Epistemic Power: Institutions, Identity, Inheritance",2,0.4,0.41239455432079936
Elf,palm,female,Lissel,Duneweaver,Lissel Duneweaver,22,no_qualifications,3,blind_or_visually_impaired,0.6962228221314383,0.617326801784235,0.8864592530077411,0.6601077430646138,0.5604368440471592,0.6462228221314382,0.6673268017842351,0.8864592530077411,0.6601077430646138,0.6104368440471593,0.7556938674712765,0.8123152446089713,0.4435587967779301,0.8527231136939135,0.8517353396589382,0.9031918095356936,0.6547272275532112,0.6642110442008546,37,2.3.22,Mediation,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Foundations of Mediation and Dialogue,Listening Between: Power, Culture, Emotion",2,0.9,0.9127846933735638
Dwarf,obsidian,male,Orrik,Nightmantle,Orrik Nightmantle,18,academic,4,communication_difficulties,0.946087851850726,0.6448741928002697,0.439379578990743,0.6041369879077976,0.4186635251639906,1.0,0.6948741928002696,0.389379578990743,0.6041369879077976,0.5686635251639907,0.9358581296489704,0.8986611996372571,0.4314685912839159,0.7513174201448262,0.98238002287294,0.4136905182312007,0.9736771070345251,0.4268278245585083,38,1.1.3,Pedagogies of the Hand,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"Learning Through Making: Foundations,Embodied Knowledge and Apprenticeship Models",2,0.05,0.07179290648244853
Dwarf,obsidian,female,Telsa,Soulcarve,Telsa Soulcarve,18,vocational,5,physical_disability,0.7500375610612025,0.6502447746777209,0.33137035210032,0.590929074863091,0.5119427179460703,0.8500375610612024,0.7002447746777208,0.43137035210032,0.590929074863091,0.6619427179460703,0.9165611317472508,0.8143734396735317,0.6294890952604856,0.6478982701172541,0.8440565687047049,0.4672680054130759,0.8589354581230986,0.5815595474454325,39,1.3.9,Artefact Restoration,Faculty of Applied Forging,Forge Arts and Metallurgy,"Reading the Object: Material Histories and Markings,Principles of Conservation and Ethical Restoration",2,0.05,0.07082805658736255
Dwarf,bismuth,female,Tirra,Thoughtcoil,Tirra Thoughtcoil,18,vocational,6,,0.8650483000934583,0.4130984973122084,0.5485017632440408,0.5062583417874614,0.595978905771199,0.9650483000934584,0.4630984973122083,0.6485017632440407,0.5062583417874614,0.6459789057711991,0.8720365820151735,0.6636159911877327,0.5523536852082279,0.8715415937895636,0.7523837191606472,0.6335047272791087,0.9374331370435216,0.5756269193079802,40,3.1.28,Indigenous and Folk Knowledge Systems,Faculty of Integrative Inquiry,Ecologies of Knowledge,"Introduction to Indigenous and Folk Epistemologies,Story, Land, and Lineage as Knowledge Archives",2,0.05,0.06860182910075868
Elf,yew,neuter,Envel,Loreshadow,Envel Loreshadow,18,vocational,1,no_known_disabilities,0.6151541455603389,0.8164532017550621,0.6507994191343628,0.3707376281877629,0.5328000621106288,0.8151541455603388,0.866453201755062,0.8507994191343627,0.3707376281877629,0.4828000621106288,0.7164545094029284,0.7586710136033176,0.7201287409136631,0.7255791755149337,0.7512582105760555,0.6540778748165048,0.6789209859777011,0.6070475316539716,41,2.3.21,Restorative Space Design,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Principles of Restorative Space,Materials, Light, and Layout for Healing,Thresholds and Transitions: Entering With Intention",3,0.05,0.09233814002618032
Elf,palm,male,Kelren,Duneweaver,Kelren Duneweaver,18,academic,1,no_known_disabilities,0.8486650097647829,0.5292662570985418,0.7621785681469074,0.785143495981209,0.5120331650656338,1.0,0.5792662570985417,0.9621785681469074,0.785143495981209,0.4620331650656338,0.5197296879104071,0.7529363324001263,0.5396230213399577,1.0,0.8132312209953502,0.9223030781179496,0.6583145718100785,0.5524295859984808,42,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.8,0.8724979744502237
